id,nom,top,maitre,nat,nat1,title,sexe,mort,auction,auction1,start_year,img,total_amount,media1,surface,date,datesiecle,date20
136,HIRST Damien,0,0,Great Britain,Grande-Bretagne,The Kingdom,1,2,Sotheby’s LONDON,s-l,2008,136.jpg,15215000,B,G,2008,21eme,2000
167,HONG Yi,0,0,China,Chine,Figure,1,1,Beijing Jiuge Int. Auct. Co. BEIJING,autre,2011,167.jpg,13115500,D,A,1939,20eme,1930
117,JAWLENSKY von Alexej,0,0,Russia,Russie,Schokko,1,1,Sotheby’s LONDON,s-l,2008,117.jpg,16542960,A,A,1910,20eme,1910
228,JAWLENSKY von Alexej,0,0,Russia,Russie,Frau mit grünem fächer,1,1,Sotheby’s NEW YORK,s-ny,2011,228.jpg,10000000,A,A,1912,20eme,1910
58,JOHNS Jasper,0,0,USA,Etats-Unis,Flag,1,1,Christie's NEW YORK,c-ny,2010,58.jpg,25500000,A,A,1960-1966,20eme,1960
138,KANDINSKY Wassily,0,0,Russia,Russie,Studie zu Improvisation 3,1,1,Christie's NEW YORK,c-ny,2008,138.jpg,15000000,A,A,1909,20eme,1900
250,KANDINSKY Wassily,0,0,Russia,Russie,Krass und mild - Dramatic and Mild,1,1,Sotheby’s NEW YORK,s-ny,2009,250.jpg,9400000,A,C,1932,20eme,1930
82,KLEIN Yves,0,0,France,France,MG 9,1,1,Sotheby’s NEW YORK,s-ny,2008,82.jpg,21000000,A,C,1962,20eme,1960
94,KLEIN Yves,0,0,France,France,Archisponge -RE 11,1,1,Sotheby’s NEW YORK,s-ny,2008,94.jpg,19000000,A,E,1960,20eme,1960
130,KLEIN Yves,0,0,France,France,IKB 1,1,1,Sotheby’s NEW YORK,s-ny,2008,130.jpg,15500000,A,C,1960,20eme,1960
206,KLEIN Yves,0,0,France,France,Anthropométrie Le Buffle - ANT 93,1,1,Christie's NEW YORK,c-ny,2010,206.jpg,11000000,A,E,1960-1961,20eme,1960
23,KLIMT Gustav,0,0,Austria,Autres,Kirche in Cassone,1,1,Sotheby’s LONDON,s-l,2010,23.jpg,38284800,A,C,1913,20eme,1910
29,KLIMT Gustav,0,0,Austria,Autres,Litzlberg Am Attersee,1,1,Sotheby’s NEW YORK,s-ny,2011,29.jpg,36000000,A,C,1914-1915,20eme,1910
